epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2038.02,1.63497,2.18558,1.16893,0.49559,0.73366,0.5799,0.32407,1.49713,1.62844,1.09874,0.0003322,0.0003322,0.0003322
2,4032.59,1.46848,1.37397,1.10482,0.6949,0.78999,0.78228,0.43319,1.48886,1.34257,1.08086,0.000652355,0.000652355,0.000652355
3,6078.41,1.42732,1.16792,1.08779,0.79192,0.81054,0.86735,0.54199,1.34084,1.10242,1.06865,0.000959311,0.000959311,0.000959311
4,8122.47,1.38956,1.0557,1.07665,0.78936,0.81779,0.88263,0.5341,1.43964,1.00007,1.08549,0.0009406,0.0009406,0.0009406
5,10122.9,1.36402,0.97005,1.06341,0.8819,0.88013,0.93823,0.57725,1.37381,0.84784,1.06737,0.0009208,0.0009208,0.0009208
6,12113.3,1.34985,0.90812,1.05734,0.87489,0.87449,0.93346,0.57517,1.36136,0.85243,1.06797,0.000901,0.000901,0.000901
7,14092,1.31099,0.8597,1.04733,0.91239,0.90697,0.95932,0.61924,1.3347,0.75169,1.05833,0.0008812,0.0008812,0.0008812
8,16022.6,1.29688,0.84425,1.04453,0.89885,0.892,0.95153,0.60011,1.37591,0.77118,1.06183,0.0008614,0.0008614,0.0008614
9,17956.8,1.27936,0.83451,1.03933,0.90333,0.91302,0.96269,0.61345,1.33014,0.69512,1.048,0.0008416,0.0008416,0.0008416
10,19910.6,1.26343,0.78753,1.03011,0.89614,0.91179,0.96191,0.66198,1.19654,0.67143,1.00801,0.0008218,0.0008218,0.0008218
11,21830.1,1.23763,0.77766,1.02182,0.92202,0.91119,0.96743,0.65332,1.2355,0.6562,1.01542,0.000802,0.000802,0.000802
12,23750.2,1.22826,0.77052,1.02429,0.94205,0.93047,0.97544,0.66663,1.20992,0.60586,1.00586,0.0007822,0.0007822,0.0007822
13,25665.9,1.20844,0.72941,1.01467,0.93226,0.92627,0.9744,0.63566,1.31397,0.62134,1.03431,0.0007624,0.0007624,0.0007624
14,27586.2,1.20041,0.71147,1.01041,0.95016,0.94696,0.98242,0.68117,1.19613,0.57147,1.00672,0.0007426,0.0007426,0.0007426
15,29509.2,1.19613,0.70646,1.01032,0.93737,0.93162,0.97595,0.67182,1.14496,0.59939,0.99587,0.0007228,0.0007228,0.0007228
16,31429.4,1.17742,0.6958,1.00342,0.93073,0.91994,0.97264,0.67152,1.1694,0.59877,0.98764,0.000703,0.000703,0.000703
17,33375.7,1.16437,0.68641,0.99908,0.94414,0.94189,0.97935,0.71134,1.07683,0.54359,0.96599,0.0006832,0.0006832,0.0006832
18,35296.8,1.15546,0.66865,0.9937,0.9361,0.95097,0.98062,0.7062,1.08725,0.54308,0.96707,0.0006634,0.0006634,0.0006634
19,37218.8,1.14414,0.66197,0.99153,0.94736,0.94772,0.98158,0.70181,1.10779,0.55194,0.97537,0.0006436,0.0006436,0.0006436
20,39143.2,1.1352,0.65676,0.99192,0.94485,0.95487,0.98275,0.70929,1.07395,0.52251,0.96654,0.0006238,0.0006238,0.0006238
21,41073.5,1.12882,0.64971,0.98314,0.94739,0.94933,0.98169,0.71852,1.08102,0.52977,0.97087,0.000604,0.000604,0.000604
22,42990.7,1.1167,0.63199,0.98048,0.96233,0.95683,0.98507,0.70439,1.11338,0.52495,0.97518,0.0005842,0.0005842,0.0005842
23,44918,1.11101,0.62798,0.98013,0.9534,0.94878,0.98383,0.72338,1.03495,0.50927,0.95683,0.0005644,0.0005644,0.0005644
24,46884.4,1.10415,0.62093,0.97642,0.96062,0.95927,0.9858,0.70856,1.07838,0.49573,0.96334,0.0005446,0.0005446,0.0005446
25,48839.2,1.09169,0.62021,0.97524,0.96968,0.96176,0.98859,0.72928,1.03517,0.49354,0.95326,0.0005248,0.0005248,0.0005248
26,50775.3,1.106,0.61316,0.97801,0.96246,0.95348,0.98613,0.72597,1.06126,0.48947,0.96173,0.000505,0.000505,0.000505
27,52700.2,1.08732,0.60046,0.97161,0.96338,0.97011,0.98917,0.71524,1.06431,0.47307,0.96121,0.0004852,0.0004852,0.0004852
28,54653.1,1.08056,0.5883,0.97025,0.96492,0.96731,0.98925,0.72722,1.02982,0.46635,0.94867,0.0004654,0.0004654,0.0004654
29,56600.1,1.07021,0.58966,0.96706,0.96322,0.96526,0.98877,0.73535,1.02725,0.46422,0.95037,0.0004456,0.0004456,0.0004456
30,58524.4,1.06429,0.57932,0.96489,0.96724,0.96084,0.98905,0.7319,1.03408,0.46335,0.94935,0.0004258,0.0004258,0.0004258
31,60455.1,1.07064,0.58436,0.96618,0.96649,0.96291,0.98844,0.74077,0.99841,0.46102,0.94081,0.000406,0.000406,0.000406
32,62384.7,1.05369,0.56331,0.96141,0.96971,0.95932,0.98832,0.74041,0.99372,0.45012,0.93998,0.0003862,0.0003862,0.0003862
33,64310.3,1.0487,0.56833,0.96282,0.97106,0.96976,0.9895,0.72985,1.02893,0.45042,0.94547,0.0003664,0.0003664,0.0003664
34,66240.8,1.04167,0.55841,0.957,0.96351,0.96876,0.98887,0.7348,1.01454,0.4479,0.94573,0.0003466,0.0003466,0.0003466
35,68171.8,1.03937,0.55238,0.95738,0.96692,0.96723,0.98902,0.74175,0.98905,0.44405,0.93685,0.0003268,0.0003268,0.0003268
36,70097.3,1.0331,0.54913,0.95889,0.97478,0.9658,0.99005,0.74489,0.97624,0.43643,0.93472,0.000307,0.000307,0.000307
37,72055.8,1.01906,0.54113,0.9486,0.97231,0.97196,0.99034,0.74734,0.9802,0.43309,0.9366,0.0002872,0.0002872,0.0002872
38,74020.4,1.01091,0.53814,0.9493,0.97644,0.96468,0.99059,0.74992,0.96319,0.42434,0.92872,0.0002674,0.0002674,0.0002674
39,75961.1,1.01635,0.54132,0.94929,0.9756,0.97051,0.99041,0.74843,0.96295,0.42916,0.93031,0.0002476,0.0002476,0.0002476
40,77891.3,1.00467,0.53349,0.94551,0.97122,0.97014,0.99002,0.75112,0.94847,0.42648,0.92524,0.0002278,0.0002278,0.0002278
41,79790.2,0.96888,0.47686,0.9422,0.97223,0.96999,0.99032,0.75113,0.96612,0.41881,0.92886,0.000208,0.000208,0.000208
42,81705.7,0.96362,0.4741,0.93887,0.97661,0.97012,0.99086,0.75177,0.96276,0.41789,0.92695,0.0001882,0.0001882,0.0001882
43,83628.5,0.95473,0.46205,0.93515,0.97651,0.97312,0.99089,0.75426,0.94706,0.41251,0.9255,0.0001684,0.0001684,0.0001684
44,85545.4,0.93973,0.45642,0.93221,0.97534,0.97039,0.99107,0.75706,0.94772,0.41166,0.92585,0.0001486,0.0001486,0.0001486
45,87472.9,0.93999,0.45698,0.93065,0.97818,0.97292,0.99172,0.75719,0.95195,0.40514,0.92171,0.0001288,0.0001288,0.0001288
46,89394.5,0.93942,0.44869,0.93229,0.98075,0.97161,0.99117,0.75742,0.93908,0.40507,0.91893,0.000109,0.000109,0.000109
47,91354.1,0.92866,0.44315,0.9279,0.98014,0.97402,0.9908,0.75857,0.93642,0.39945,0.91896,8.92e-05,8.92e-05,8.92e-05
48,93272.9,0.91665,0.43717,0.92547,0.98386,0.97392,0.9915,0.76109,0.93443,0.39831,0.91853,6.94e-05,6.94e-05,6.94e-05
49,95189.7,0.91188,0.43876,0.92239,0.98606,0.97376,0.99152,0.75907,0.93628,0.39457,0.91647,4.96e-05,4.96e-05,4.96e-05
50,97093.8,0.91399,0.43687,0.92258,0.98362,0.97419,0.9916,0.76091,0.93194,0.39532,0.91749,2.98e-05,2.98e-05,2.98e-05
